x-axis,IN,OUT
+3.32000E-03,+7.42968750E+00,-8.10742187E+00
+3.34000E-03,+7.45898437E+00,-8.14648437E+00
+3.36000E-03,+7.50781250E+00,-8.18554687E+00
+3.38000E-03,+7.53710937E+00,-8.21484375E+00
+3.40000E-03,+7.57617187E+00,-8.25390625E+00
+3.42000E-03,+7.61523437E+00,-8.29296875E+00
+3.44000E-03,+7.64453125E+00,-8.33203125E+00
+3.46000E-03,+7.68359375E+00,-8.36132812E+00
+3.48000E-03,+7.72265625E+00,-8.40039062E+00
+3.50000E-03,+7.76171875E+00,-8.43945312E+00
+3.52000E-03,+7.80078125E+00,-8.47851562E+00
+3.54000E-03,+7.83984375E+00,-8.50781250E+00
+3.56000E-03,+7.87890625E+00,-8.54687500E+00
+3.58000E-03,+7.91796875E+00,-8.58593750E+00
+3.60000E-03,+7.95703125E+00,-8.62500000E+00
+3.62000E-03,+7.98632812E+00,-8.66406250E+00
+3.64000E-03,+8.02539062E+00,-8.70312500E+00
+3.66000E-03,+8.06445312E+00,-8.73242187E+00
+3.68000E-03,+8.10351562E+00,-8.77148437E+00
+3.70000E-03,+8.14257812E+00,-8.81054687E+00
+3.72000E-03,+8.18164062E+00,-8.84960937E+00
+3.74000E-03,+8.22070312E+00,-8.88867187E+00
+3.76000E-03,+8.25976562E+00,-8.91796875E+00
+3.78000E-03,+8.29882812E+00,-8.96679687E+00
+3.80000E-03,+8.33789062E+00,-9.00585937E+00
+3.82000E-03,+8.38671875E+00,-9.04492187E+00
+3.84000E-03,+8.42578125E+00,-9.08398437E+00
+3.86000E-03,+8.45507812E+00,-9.11328125E+00
+3.88000E-03,+8.49414062E+00,-9.15234375E+00
+3.90000E-03,+8.52343750E+00,-9.19140625E+00
+3.92000E-03,+8.56250000E+00,-9.22070312E+00
+3.94000E-03,+8.60156250E+00,-9.25976562E+00
+3.96000E-03,+8.64062500E+00,-9.28906250E+00
+3.98000E-03,+8.67968750E+00,-9.32812500E+00
+4.00000E-03,+8.71875000E+00,-9.36718750E+00
+4.02000E-03,+8.75781250E+00,-9.40625000E+00
+4.04000E-03,+8.79687500E+00,-9.44531250E+00
+4.06000E-03,+8.82617187E+00,-9.48437500E+00
+4.08000E-03,+8.86523437E+00,-9.52343750E+00
+4.10000E-03,+8.90429687E+00,-9.57226562E+00
+4.12000E-03,+8.94335937E+00,-9.61132812E+00
+4.14000E-03,-5.71484375E+00,-7.44335938E+00
+4.16000E-03,-10.10937500E+00,-1.37890625E+00
+4.18000E-03,-10.00195313E+00,+6.00390625E+00
+4.20000E-03,-9.93359375E+00,+9.30468750E+00
+4.22000E-03,-9.89453125E+00,+9.29492188E+00
+4.24000E-03,-9.84570313E+00,+9.26562500E+00
+4.26000E-03,-9.80664063E+00,+9.22656250E+00
+4.28000E-03,-9.75781250E+00,+9.19726563E+00
+4.30000E-03,-9.71875000E+00,+9.15820313E+00
+4.32000E-03,-9.67968750E+00,+9.11914063E+00
+4.34000E-03,-9.64062500E+00,+9.08007813E+00
+4.36000E-03,-9.60156250E+00,+9.04101563E+00
+4.38000E-03,-9.56250000E+00,+9.00195313E+00
+4.40000E-03,-9.52343750E+00,+8.95312500E+00
+4.42000E-03,-9.48437500E+00,+8.90429688E+00
+4.44000E-03,-9.44531250E+00,+8.87500000E+00
+4.46000E-03,-9.40625000E+00,+8.83593750E+00
+4.48000E-03,-9.36718750E+00,+8.79687500E+00
+4.50000E-03,-9.32812500E+00,+8.75781250E+00
+4.52000E-03,-9.28906250E+00,+8.71875000E+00
+4.54000E-03,-9.25976563E+00,+8.68945313E+00
+4.56000E-03,-9.22070313E+00,+8.64062500E+00
+4.58000E-03,-9.18164063E+00,+8.60156250E+00
+4.60000E-03,-9.14257813E+00,+8.56250000E+00
+4.62000E-03,-9.10351563E+00,+8.53320313E+00
+4.64000E-03,-9.06445313E+00,+8.49414063E+00
+4.66000E-03,-9.01562500E+00,+8.45507813E+00
+4.68000E-03,-8.98632813E+00,+8.41601563E+00
+4.70000E-03,-8.94726563E+00,+8.38671875E+00
+4.72000E-03,-8.91796875E+00,+8.34765625E+00
+4.74000E-03,-8.87890625E+00,+8.30859375E+00
+4.76000E-03,-8.83007813E+00,+8.26953125E+00
+4.78000E-03,-8.80078125E+00,+8.23046875E+00
+4.80000E-03,-8.76171875E+00,+8.19140625E+00
+4.82000E-03,-8.72265625E+00,+8.15234375E+00
+4.84000E-03,-8.68359375E+00,+8.11328125E+00
+4.86000E-03,-8.64453125E+00,+8.07421875E+00
+4.88000E-03,-8.60546875E+00,+8.03515625E+00
+4.90000E-03,-8.57617188E+00,+7.99609375E+00
+4.92000E-03,-8.53710938E+00,+7.95703125E+00
+4.94000E-03,-8.50781250E+00,+7.91796875E+00
+4.96000E-03,-8.45898438E+00,+7.87890625E+00
+4.98000E-03,-8.41992188E+00,+7.83007813E+00
+5.00000E-03,-8.39062500E+00,+7.79101563E+00
+5.02000E-03,-8.35156250E+00,+7.76171875E+00
+5.04000E-03,-8.32226563E+00,+7.72265625E+00
+5.06000E-03,-8.29296875E+00,+7.68359375E+00
+5.08000E-03,-8.25390625E+00,+7.64453125E+00
+5.10000E-03,-8.22460938E+00,+7.61523438E+00
+5.12000E-03,-8.18554688E+00,+7.57617188E+00
+5.14000E-03,-8.14648438E+00,+7.53710938E+00
+5.16000E-03,-8.10742188E+00,+7.50781250E+00
+5.18000E-03,-8.06835938E+00,+7.46875000E+00
+5.20000E-03,-8.02929688E+00,+7.42968750E+00
+5.22000E-03,-7.99023438E+00,+7.39062500E+00
+5.24000E-03,-7.95117188E+00,+7.35156250E+00
+5.26000E-03,-7.91210938E+00,+7.32226563E+00
+5.28000E-03,-7.87304688E+00,+7.28320313E+00
+5.30000E-03,-7.83398438E+00,+7.25390625E+00
+5.32000E-03,-7.79492188E+00,+7.21484375E+00
+5.34000E-03,-7.75585938E+00,+7.17578125E+00
+5.36000E-03,-7.71679688E+00,+7.13671875E+00
+5.38000E-03,-7.68750000E+00,+7.09765625E+00
+5.40000E-03,-7.64843750E+00,+7.06835938E+00
+5.42000E-03,-7.60937500E+00,+7.02929688E+00
+5.44000E-03,-7.57031250E+00,+6.99023438E+00
+5.46000E-03,-7.53125000E+00,+6.95117188E+00
+5.48000E-03,-7.50195313E+00,+6.91210938E+00
+5.50000E-03,-7.46289063E+00,+6.87304688E+00
+5.52000E-03,-7.42382813E+00,+6.83398438E+00
+5.54000E-03,-7.38476563E+00,+6.79492188E+00
+5.56000E-03,-7.34570313E+00,+6.75585938E+00
+5.58000E-03,-7.30664063E+00,+6.71679688E+00
+5.60000E-03,-7.26757813E+00,+6.67773438E+00
+5.62000E-03,-7.22851563E+00,+6.64843750E+00
+5.64000E-03,-7.18945313E+00,+6.60937500E+00
+5.66000E-03,-7.15039063E+00,+6.58007813E+00
+5.68000E-03,-7.11132813E+00,+6.54101563E+00
+5.70000E-03,-7.07226563E+00,+6.49218750E+00
+5.72000E-03,-7.03320313E+00,+6.45312500E+00
+5.74000E-03,-6.99414063E+00,+6.42382813E+00
+5.76000E-03,-6.95507813E+00,+6.38476563E+00
+5.78000E-03,-6.91601563E+00,+6.34570313E+00
+5.80000E-03,-6.87695313E+00,+6.30664063E+00
+5.82000E-03,-6.83789063E+00,+6.26757813E+00
+5.84000E-03,-6.79882813E+00,+6.22851563E+00
+5.86000E-03,-6.76953125E+00,+6.18945313E+00
+5.88000E-03,-6.73046875E+00,+6.16015625E+00
+5.90000E-03,-6.68164063E+00,+6.12109375E+00
+5.92000E-03,-6.65234375E+00,+6.08203125E+00
+5.94000E-03,-6.61328125E+00,+6.04296875E+00
+5.96000E-03,-6.58398438E+00,+5.99414063E+00
+5.98000E-03,-6.54492188E+00,+5.95507813E+00
+6.00000E-03,-6.50585938E+00,+5.91601563E+00
+6.02000E-03,-6.46679688E+00,+5.87695313E+00
+6.04000E-03,-6.42773438E+00,+5.83789063E+00
+6.06000E-03,-6.38867188E+00,+5.79882813E+00
+6.08000E-03,-6.34960938E+00,+5.75976563E+00
+6.10000E-03,-6.31054688E+00,+5.73046875E+00
+6.12000E-03,-6.27148438E+00,+5.70117188E+00
+6.14000E-03,-6.23242188E+00,+5.66210938E+00
+6.16000E-03,-6.19335938E+00,+5.62304688E+00
+6.18000E-03,-6.15429688E+00,+5.58398438E+00
+6.20000E-03,-6.11523438E+00,+5.53515625E+00
+6.22000E-03,-6.08593750E+00,+5.48632813E+00
+6.24000E-03,-6.04687500E+00,+5.45703125E+00
+6.26000E-03,-5.99804688E+00,+5.41796875E+00
+6.28000E-03,-5.95898438E+00,+5.37890625E+00
+6.30000E-03,-5.91992188E+00,+5.33984375E+00
+6.32000E-03,-5.88085938E+00,+5.30078125E+00
+6.34000E-03,-5.84179688E+00,+5.27148438E+00
+6.36000E-03,-5.81250000E+00,+5.23242188E+00
+6.38000E-03,-5.77343750E+00,+5.19335938E+00
+6.40000E-03,-5.72460938E+00,+5.15429688E+00
+6.42000E-03,-5.68554688E+00,+5.10546875E+00
+6.44000E-03,-5.64648438E+00,+5.06640625E+00
+6.46000E-03,-5.59765625E+00,+5.03710938E+00
+6.48000E-03,-5.55859375E+00,+4.99804688E+00
+6.50000E-03,-5.52929688E+00,+4.95898438E+00
+6.52000E-03,-5.49023438E+00,+4.92968750E+00
+6.54000E-03,-5.45117188E+00,+4.89062500E+00
+6.56000E-03,-5.41210938E+00,+4.85156250E+00
+6.58000E-03,-5.37304688E+00,+4.81250000E+00
+6.60000E-03,-5.33398438E+00,+4.77343750E+00
+6.62000E-03,-5.28515625E+00,+4.72460938E+00
+6.64000E-03,-5.24609375E+00,+4.68554688E+00
+6.66000E-03,-5.20703125E+00,+4.64648438E+00
+6.68000E-03,-5.16796875E+00,+4.59765625E+00
+6.70000E-03,-5.12890625E+00,+4.55859375E+00
+6.72000E-03,-5.08984375E+00,+4.51953125E+00
+6.74000E-03,-5.05078125E+00,+4.48046875E+00
+6.76000E-03,-5.02148438E+00,+4.44140625E+00
+6.78000E-03,-4.98242188E+00,+4.40234375E+00
+6.80000E-03,-4.94335938E+00,+4.36328125E+00
+6.82000E-03,-4.90429688E+00,+4.31445313E+00
+6.84000E-03,-4.86523438E+00,+4.28515625E+00
+6.86000E-03,-4.82617188E+00,+4.24609375E+00
+6.88000E-03,-4.79687500E+00,+4.20703125E+00
+6.90000E-03,-4.75781250E+00,+4.16796875E+00
+6.92000E-03,-4.71875000E+00,+4.12890625E+00
+6.94000E-03,-4.67968750E+00,+4.08007813E+00
+6.96000E-03,-4.64062500E+00,+4.05078125E+00
+6.98000E-03,-4.60156250E+00,+4.01171875E+00
+7.00000E-03,-4.56250000E+00,+3.97265625E+00
+7.02000E-03,-4.52343750E+00,+3.93359375E+00
+7.04000E-03,-4.48437500E+00,+3.88476563E+00
+7.06000E-03,-4.43554688E+00,+3.84570313E+00
+7.08000E-03,-4.39648438E+00,+3.80664063E+00
+7.10000E-03,-4.35742188E+00,+3.76757813E+00
+7.12000E-03,-4.31835938E+00,+3.72851563E+00
+7.14000E-03,-4.27929688E+00,+3.68945313E+00
+7.16000E-03,-4.25000000E+00,+3.65039063E+00
+7.18000E-03,-4.21093750E+00,+3.61132813E+00
+7.20000E-03,-4.17187500E+00,+3.57226563E+00
+7.22000E-03,-4.14257813E+00,+3.53320313E+00
+7.24000E-03,-4.10351563E+00,+3.50390625E+00
+7.26000E-03,-4.07421875E+00,+3.46484375E+00
+7.28000E-03,-4.03515625E+00,+3.42578125E+00
+7.30000E-03,-4.00585938E+00,+3.38671875E+00
+7.32000E-03,-3.96679688E+00,+3.34765625E+00
+7.34000E-03,-3.92773438E+00,+3.30859375E+00
+7.36000E-03,-3.88867188E+00,+3.26953125E+00
+7.38000E-03,-3.84960938E+00,+3.24023438E+00
+7.40000E-03,-3.82031250E+00,+3.20117188E+00
+7.42000E-03,-3.78125000E+00,+3.15234375E+00
+7.44000E-03,-3.74218750E+00,+3.11328125E+00
+7.46000E-03,-3.70312500E+00,+3.07421875E+00
+7.48000E-03,-3.66406250E+00,+3.03515625E+00
+7.50000E-03,-3.62500000E+00,+2.99609375E+00
+7.52000E-03,-3.59570313E+00,+2.94726563E+00
+7.54000E-03,-3.54687500E+00,+2.90820313E+00
+7.56000E-03,-3.51757813E+00,+2.86914063E+00
+7.58000E-03,-3.47851563E+00,+2.83007813E+00
+7.60000E-03,-3.43945313E+00,+2.80078125E+00
+7.62000E-03,-3.41015625E+00,+2.76171875E+00
+7.64000E-03,-3.37109375E+00,+2.72265625E+00
+7.66000E-03,-3.33203125E+00,+2.68359375E+00
+7.68000E-03,-3.29296875E+00,+2.65429688E+00
+7.70000E-03,-3.25390625E+00,+2.61523438E+00
+7.72000E-03,-3.21484375E+00,+2.58593750E+00
+7.74000E-03,-3.17578125E+00,+2.54687500E+00
+7.76000E-03,-3.13671875E+00,+2.50781250E+00
+7.78000E-03,-3.08789063E+00,+2.47851563E+00
+7.80000E-03,-3.04882813E+00,+2.43945313E+00
+7.82000E-03,-3.00976563E+00,+2.40039063E+00
+7.84000E-03,-2.97070313E+00,+2.36132813E+00
+7.86000E-03,-2.93164063E+00,+2.32226563E+00
+7.88000E-03,-2.89257813E+00,+2.29296875E+00
+7.90000E-03,-2.86328125E+00,+2.26367188E+00
+7.92000E-03,-2.82421875E+00,+2.22460938E+00
+7.94000E-03,-2.78515625E+00,+2.18554688E+00
+7.96000E-03,-2.74609375E+00,+2.15625000E+00
+7.98000E-03,-2.70703125E+00,+2.10742188E+00
+8.00000E-03,-2.67773438E+00,+2.07812500E+00
+8.02000E-03,-2.63867188E+00,+2.03906250E+00
+8.04000E-03,-2.59960938E+00,+1.99023438E+00
+8.06000E-03,-2.56054688E+00,+1.95117188E+00
+8.08000E-03,-2.52148438E+00,+1.91210938E+00
+8.10000E-03,-2.48242188E+00,+1.87304688E+00
+8.12000E-03,-2.44335938E+00,+1.84375000E+00
+8.14000E-03,-2.40429688E+00,+1.80468750E+00
+8.16000E-03,-2.36523438E+00,+1.76562500E+00
+8.18000E-03,-2.32617188E+00,+1.72656250E+00
+8.20000E-03,-2.28710938E+00,+1.67773438E+00
+8.22000E-03,-2.24804688E+00,+1.63867188E+00
+8.24000E-03,-2.20898438E+00,+1.59960938E+00
+8.26000E-03,-2.16992188E+00,+1.55078125E+00
+8.28000E-03,-2.13085938E+00,+1.52148438E+00
+8.30000E-03,-2.09179688E+00,+1.48242188E+00
+8.32000E-03,-2.05273438E+00,+1.44335938E+00
+8.34000E-03,-2.01367188E+00,+1.40429688E+00
+8.36000E-03,-1.97460938E+00,+1.36523438E+00
+8.38000E-03,-1.93554688E+00,+1.33593750E+00
+8.40000E-03,-1.89648438E+00,+1.29687500E+00
+8.42000E-03,-1.85742188E+00,+1.25781250E+00
+8.44000E-03,-1.81835938E+00,+1.21875000E+00
+8.46000E-03,-1.76953125E+00,+1.17968750E+00
+8.48000E-03,-1.74023438E+00,+1.14062500E+00
+8.50000E-03,-1.70117188E+00,+1.09179688E+00
+8.52000E-03,-1.66210938E+00,+1.06250000E+00
+8.54000E-03,-1.62304688E+00,+1.01367188E+00
+8.56000E-03,-1.58398438E+00,+974.60938E-03
+8.58000E-03,-1.53515625E+00,+935.54688E-03
+8.60000E-03,-1.50585938E+00,+896.48438E-03
+8.62000E-03,-1.46679688E+00,+857.42188E-03
+8.64000E-03,-1.42773438E+00,+818.35938E-03
+8.66000E-03,-1.38867188E+00,+779.29688E-03
+8.68000E-03,-1.35937500E+00,+740.23438E-03
+8.70000E-03,-1.32031250E+00,+701.17188E-03
+8.72000E-03,-1.28125000E+00,+662.10938E-03
+8.74000E-03,-1.25195313E+00,+623.04688E-03
+8.76000E-03,-1.22265625E+00,+583.98438E-03
+8.78000E-03,-1.18359375E+00,+544.92188E-03
+8.80000E-03,-1.14453125E+00,+505.85938E-03
+8.82000E-03,-1.11523438E+00,+466.79688E-03
+8.84000E-03,-1.07617188E+00,+427.73438E-03
+8.86000E-03,-1.03710938E+00,+398.43750E-03
+8.88000E-03,-998.04688E-03,+349.60938E-03
+8.90000E-03,-958.98438E-03,+310.54688E-03
+8.92000E-03,-929.68750E-03,+271.48438E-03
+8.94000E-03,-890.62500E-03,+232.42188E-03
+8.96000E-03,-851.56250E-03,+193.35938E-03
+8.98000E-03,-812.50000E-03,+164.06250E-03
+9.00000E-03,-783.20313E-03,+125.00000E-03
+9.02000E-03,-744.14063E-03,+95.70313E-03
+9.04000E-03,-705.07813E-03,+66.40625E-03
+9.06000E-03,-666.01563E-03,+27.34375E-03
+9.08000E-03,-636.71875E-03,+7.81250E-03
+9.10000E-03,-597.65625E-03,-31.25000E-03
+9.12000E-03,-558.59375E-03,-60.54687E-03
+9.14000E-03,-529.29688E-03,-99.60937E-03
+9.16000E-03,-500.00000E-03,-128.90625E-03
+9.18000E-03,-470.70313E-03,-148.43750E-03
+9.20000E-03,-441.40625E-03,-197.26562E-03
+9.22000E-03,-402.34375E-03,-236.32812E-03
+9.24000E-03,-363.28125E-03,-265.62500E-03
+9.26000E-03,-324.21875E-03,-294.92187E-03
+9.28000E-03,-285.15625E-03,-333.98437E-03
+9.30000E-03,-246.09375E-03,-373.04687E-03
+9.32000E-03,-207.03125E-03,-412.10937E-03
+9.34000E-03,-167.96875E-03,-451.17187E-03
+9.36000E-03,-128.90625E-03,-490.23437E-03
+9.38000E-03,-89.84375E-03,-529.29687E-03
+9.40000E-03,-50.78125E-03,-578.12500E-03
+9.42000E-03,-21.48438E-03,-617.18750E-03
+9.44000E-03,+17.57812E-03,-646.48437E-03
+9.46000E-03,+56.64062E-03,-685.54687E-03
+9.48000E-03,+95.70312E-03,-714.84375E-03
+9.50000E-03,+134.76562E-03,-753.90625E-03
+9.52000E-03,+173.82812E-03,-792.96875E-03
+9.54000E-03,+212.89062E-03,-832.03125E-03
+9.56000E-03,+251.95312E-03,-871.09375E-03
+9.58000E-03,+300.78125E-03,-910.15625E-03
+9.60000E-03,+339.84375E-03,-949.21875E-03
+9.62000E-03,+378.90625E-03,-988.28125E-03
+9.64000E-03,+417.96875E-03,-1.01757812E+00
+9.66000E-03,+457.03125E-03,-1.05664062E+00
+9.68000E-03,+496.09375E-03,-1.08593750E+00
+9.70000E-03,+535.15625E-03,-1.12500000E+00
+9.72000E-03,+574.21875E-03,-1.16406250E+00
+9.74000E-03,+603.51562E-03,-1.20312500E+00
+9.76000E-03,+642.57812E-03,-1.23242187E+00
+9.78000E-03,+681.64062E-03,-1.27148437E+00
+9.80000E-03,+720.70312E-03,-1.31054687E+00
+9.82000E-03,+759.76562E-03,-1.34960937E+00
+9.84000E-03,+798.82812E-03,-1.38867187E+00
+9.86000E-03,+847.65625E-03,-1.42773437E+00
+9.88000E-03,+886.71875E-03,-1.46679687E+00
+9.90000E-03,+925.78125E-03,-1.50585937E+00
+9.92000E-03,+964.84375E-03,-1.54492187E+00
+9.94000E-03,+1.00390625E+00,-1.58398437E+00
+9.96000E-03,+1.04296875E+00,-1.62304687E+00
+9.98000E-03,+1.07226562E+00,-1.66210937E+00
